Labeling proteomics;sample_id;drug;susceptibility_logAUC
93;2000176;Idarubicin;0.935135135
93;2000176;Dasatinib;1
93;2000176;Ponatinib;1
93;2000176;Venetoclax;1
93;2000176;Navitoclax;1
93;2000176;Doxorubicin;0.991071429
93;2000176;Birinapant;0.669724771
93;2000176;Bortezomib;1
93;2000176;CB-103;1
93;2000176;Dexamethasone;1
93;2000176;Cytarabine;0.883928571
93;2000176;Etoposide;0.893203883
93;2000176;Methotrexate;1
93;2000176;Selinexor;0.848214286
93;2000176;Vincristine;1
93;2000176;Nilotinib;1
93;2000176;Temsirolimus;0.916666667
93;2000176;Bosutinib;1
93;2000176;Panobinostat;1
93;2000176;Trametinib;0.75257732
93;2000176;Ruxolitinib;1
93;2000176;Dinaciclib;1
93;2000176;A1331852;0.84375
93;2000176;S-63845;1
93;2000176;Nelarabine;0.728971963
93;2000176;Native Asparaginase;1
43;2000027;Idarubicin;0.648648649
43;2000027;Dasatinib;0.339130435
43;2000027;Ponatinib;0.394495413
43;2000027;Venetoclax;0.234782609
43;2000027;Navitoclax;0.117117117
43;2000027;Doxorubicin;0.901785714
43;2000027;Birinapant;0.220183486
43;2000027;Bortezomib;0.429824561
43;2000027;CB-103;0.027027027
43;2000027;Dexamethasone;0.221238938
43;2000027;Cytarabine;0.294642857
43;2000027;Etoposide;0.54368932
43;2000027;Methotrexate;0.010416667
43;2000027;Selinexor;0.75
43;2000027;Vincristine;0.126126126
43;2000027;Nilotinib;0.294117647
43;2000027;Temsirolimus;0.9375
43;2000027;Bosutinib;0.403846154
43;2000027;Panobinostat;0.428571429
43;2000027;Trametinib;0.391752577
43;2000027;Ruxolitinib;0.275510204
43;2000027;Dinaciclib;0.644230769
43;2000027;A1331852;0.614583333
43;2000027;S-63845;0.3375
43;2000027;Nelarabine;0.140186916
21;2000028;Idarubicin;0.967567568
21;2000028;Dasatinib;1
21;2000028;Ponatinib;0.80733945
21;2000028;Venetoclax;0.817391304
21;2000028;Navitoclax;0.765765766
21;2000028;Doxorubicin;0.982142857
21;2000028;Birinapant;0.293577982
21;2000028;Bortezomib;1
21;2000028;CB-103;1
21;2000028;Dexamethasone;0.486725664
21;2000028;Cytarabine;0.821428571
21;2000028;Etoposide;0.737864078
21;2000028;Methotrexate;1
21;2000028;Selinexor;0.892857143
21;2000028;Vincristine;0.756756757
21;2000028;Nilotinib;1
21;2000028;Temsirolimus;0.489583333
21;2000028;Bosutinib;1
21;2000028;Panobinostat;0.857142857
21;2000028;Trametinib;0.536082474
21;2000028;Ruxolitinib;1
21;2000028;Dinaciclib;0.913461538
21;2000028;A1331852;0.604166667
21;2000028;S-63845;0.8875
21;2000028;Nelarabine;1
21;2000028;Native Asparaginase;1
49;2000029;Idarubicin;0.405405405
49;2000029;Dasatinib;0.139130435
49;2000029;Ponatinib;0.174311927
49;2000029;Venetoclax;0.208695652
49;2000029;Navitoclax;0.432432432
49;2000029;Doxorubicin;0.392857143
49;2000029;Birinapant;0.110091743
49;2000029;Bortezomib;0.535087719
49;2000029;CB-103;0.121621622
49;2000029;Dexamethasone;0.362831858
49;2000029;Cytarabine;0.125
49;2000029;Etoposide;0.048543689
49;2000029;Methotrexate;1
49;2000029;Selinexor;0.205357143
49;2000029;Vincristine;0.252252252
49;2000029;Nilotinib;1
49;2000029;Temsirolimus;0.395833333
49;2000029;Bosutinib;0.211538462
49;2000029;Panobinostat;0.616071429
49;2000029;Trametinib;0.206185567
49;2000029;Ruxolitinib;1
49;2000029;Dinaciclib;0.634615385
49;2000029;A1331852;0.114583333
49;2000029;S-63845;0.225
49;2000029;Nelarabine;0.476635514
49;2000029;Native Asparaginase;1
35;2000386;Idarubicin;1
35;2000386;Dasatinib;1
35;2000386;Ponatinib;0.183486239
35;2000386;Venetoclax;0.165217391
46;2000391;Idarubicin;0.875675676
